task	inserted_by	deadline	is_completed	inserted_at	family_group
Fare la spesa (21)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-09-11	TRUE	2025-09-06 00:00:00.000000+00	PATARINI
Comprare il latte (22)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-10-06	TRUE	2025-10-03 00:00:00.000000+00	PATARINI
Comprare il latte (23)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-09-08	TRUE	2025-09-06 00:00:00.000000+00	PATARINI
Portare il cane a passeggio (24)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-11-21	TRUE	2025-11-20 00:00:00.000000+00	PATARINI
Studiare inglese (25)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-11-01	TRUE	2025-10-30 00:00:00.000000+00	PATARINI
Telefonare alla mamma (26)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-12-23	TRUE	2025-12-22 00:00:00.000000+00	PATARINI
Pulire la cucina (27)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-11-14	TRUE	2025-11-10 00:00:00.000000+00	PATARINI
Preparare la cena (28)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-08-29	TRUE	2025-08-28 00:00:00.000000+00	PATARINI
Fare la spesa (29)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-10-13	TRUE	2025-10-11 00:00:00.000000+00	PATARINI
Pulire la cucina (30)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-09-23	TRUE	2025-09-22 00:00:00.000000+00	PATARINI
Pagare bolletta luce (31)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-10-05	TRUE	2025-10-04 00:00:00.000000+00	PATARINI
Pulire la cucina (32)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-09-15	TRUE	2025-09-14 00:00:00.000000+00	PATARINI
Telefonare alla mamma (33)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-11-29	TRUE	2025-11-26 00:00:00.000000+00	PATARINI
Pagare bolletta luce (34)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-10-20	TRUE	2025-10-17 00:00:00.000000+00	PATARINI
Portare il cane a passeggio (35)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-12-26	TRUE	2025-12-23 00:00:00.000000+00	PATARINI
Preparare la cena (36)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-10-11	TRUE	2025-10-07 00:00:00.000000+00	PATARINI
Telefonare alla mamma (37)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-09-06	TRUE	2025-09-05 00:00:00.000000+00	PATARINI
Pulire la cucina (38)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-08-29	TRUE	2025-08-24 00:00:00.000000+00	PATARINI
Telefonare alla mamma (39)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-11-28	TRUE	2025-11-26 00:00:00.000000+00	PATARINI
Pagare bolletta luce (40)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-11-01	TRUE	2025-10-27 00:00:00.000000+00	PATARINI
Portare il cane a passeggio (41)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-09-06	TRUE	2025-09-03 00:00:00.000000+00	PATARINI
Fare benzina (42)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-11-11	TRUE	2025-11-08 00:00:00.000000+00	PATARINI
Fare la spesa (43)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-11-29	TRUE	2025-11-25 00:00:00.000000+00	PATARINI
Andare in palestra (44)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-11-20	TRUE	2025-11-16 00:00:00.000000+00	PATARINI
Pulire la cucina (45)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-12-24	TRUE	2025-12-21 00:00:00.000000+00	PATARINI
Studiare inglese (46)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-10-03	TRUE	2025-09-30 00:00:00.000000+00	PATARINI
Preparare la cena (47)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-10-25	TRUE	2025-10-23 00:00:00.000000+00	PATARINI
Pagare bolletta luce (48)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-09-15	TRUE	2025-09-11 00:00:00.000000+00	PATARINI
Andare in palestra (49)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-09-06	TRUE	2025-09-02 00:00:00.000000+00	PATARINI
Preparare la cena (50)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-11-08	TRUE	2025-11-04 00:00:00.000000+00	PATARINI
Pulire la cucina (51)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-10-27	FALSE	2025-10-26 00:00:00.000000+00	PATARINI
Preparare la cena (52)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-11-13	FALSE	2025-11-12 00:00:00.000000+00	PATARINI
Preparare la cena (53)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-12-21	FALSE	2025-12-16 00:00:00.000000+00	PATARINI
Telefonare alla mamma (54)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-10-30	FALSE	2025-10-28 00:00:00.000000+00	PATARINI
Pagare bolletta luce (55)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-12-01	FALSE	2025-11-29 00:00:00.000000+00	PATARINI
Telefonare alla mamma (56)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-09-17	FALSE	2025-09-16 00:00:00.000000+00	PATARINI
Pagare bolletta luce (57)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-09-22	FALSE	2025-09-18 00:00:00.000000+00	PATARINI
Studiare inglese (58)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-12-06	FALSE	2025-12-02 00:00:00.000000+00	PATARINI
Andare in palestra (59)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-11-04	FALSE	2025-11-01 00:00:00.000000+00	PATARINI
Fare benzina (60)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-12-18	FALSE	2025-12-15 00:00:00.000000+00	PATARINI
Pulire la cucina (61)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-09-16	FALSE	2025-09-15 00:00:00.000000+00	PATARINI
Comprare il latte (62)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-12-12	FALSE	2025-12-08 00:00:00.000000+00	PATARINI
Fare la spesa (63)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-12-02	FALSE	2025-12-01 00:00:00.000000+00	PATARINI
Telefonare alla mamma (64)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-11-13	FALSE	2025-11-09 00:00:00.000000+00	PATARINI
Fare benzina (65)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-11-12	FALSE	2025-11-07 00:00:00.000000+00	PATARINI
Fare la spesa (66)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-09-09	FALSE	2025-09-05 00:00:00.000000+00	PATARINI
Fare la spesa (67)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-09-07	FALSE	2025-09-06 00:00:00.000000+00	PATARINI
Andare in palestra (68)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-09-29	FALSE	2025-09-25 00:00:00.000000+00	PATARINI
Fare la spesa (69)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-10-08	FALSE	2025-10-06 00:00:00.000000+00	PATARINI
Preparare la cena (70)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-12-17	FALSE	2025-12-15 00:00:00.000000+00	PATARINI
Pagare bolletta luce (71)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-08-30	FALSE	2025-08-29 00:00:00.000000+00	PATARINI
Fare benzina (72)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-09-28	FALSE	2025-09-24 00:00:00.000000+00	PATARINI
Comprare il latte (73)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-09-15	FALSE	2025-09-11 00:00:00.000000+00	PATARINI
Andare in palestra (74)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-09-22	FALSE	2025-09-17 00:00:00.000000+00	PATARINI
Fare la spesa (75)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-11-28	FALSE	2025-11-27 00:00:00.000000+00	PATARINI
Portare il cane a passeggio (76)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-09-15	FALSE	2025-09-10 00:00:00.000000+00	PATARINI
Telefonare alla mamma (77)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-09-17	FALSE	2025-09-12 00:00:00.000000+00	PATARINI
Preparare la cena (78)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-12-22	FALSE	2025-12-21 00:00:00.000000+00	PATARINI
Studiare inglese (79)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-09-16	FALSE	2025-09-11 00:00:00.000000+00	PATARINI
Preparare la cena (80)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-10-30	FALSE	2025-10-27 00:00:00.000000+00	PATARINI
Telefonare alla mamma (81)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-10-08	FALSE	2025-10-06 00:00:00.000000+00	PATARINI
Fare benzina (82)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-11-12	FALSE	2025-11-08 00:00:00.000000+00	PATARINI
Fare benzina (83)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-11-21	FALSE	2025-11-17 00:00:00.000000+00	PATARINI
Studiare inglese (84)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-10-18	FALSE	2025-10-16 00:00:00.000000+00	PATARINI
Telefonare alla mamma (85)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-09-27	FALSE	2025-09-23 00:00:00.000000+00	PATARINI
Fare la spesa (86)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-09-12	FALSE	2025-09-09 00:00:00.000000+00	PATARINI
Preparare la cena (87)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-11-20	FALSE	2025-11-15 00:00:00.000000+00	PATARINI
Comprare il latte (88)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-10-09	FALSE	2025-10-04 00:00:00.000000+00	PATARINI
Comprare il latte (89)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-10-03	FALSE	2025-10-02 00:00:00.000000+00	PATARINI
Pagare bolletta luce (90)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-09-09	FALSE	2025-09-07 00:00:00.000000+00	PATARINI
Pagare bolletta luce (91)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-09-23	FALSE	2025-09-22 00:00:00.000000+00	PATARINI
Studiare inglese (92)	f7b98e95-bd99-4609-a1a4-6f8e15389737	2025-12-20	FALSE	2025-12-15 00:00:00.000000+00	PATARINI
Fare benzina (93)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-09-28	FALSE	2025-09-27 00:00:00.000000+00	PATARINI
Portare il cane a passeggio (94)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-12-04	FALSE	2025-11-29 00:00:00.000000+00	PATARINI
Fare benzina (95)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-11-12	FALSE	2025-11-07 00:00:00.000000+00	PATARINI
Pulire la cucina (96)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-12-17	FALSE	2025-12-13 00:00:00.000000+00	PATARINI
Pulire la cucina (97)	f98c05e1-df2e-4eb2-815f-39317c57049b	2025-10-28	FALSE	2025-10-26 00:00:00.000000+00	PATARINI
Andare in palestra (98)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-12-25	FALSE	2025-12-23 00:00:00.000000+00	PATARINI
Fare la spesa (99)	1caabea0-3571-48c1-81d6-816830b3cd75	2025-11-21	FALSE	2025-11-16 00:00:00.000000+00	PATARINI
Fare la spesa (100)	f4751bf5-cdc5-407e-a1c2-ec7da2de337e	2025-09-08	FALSE	2025-09-03 00:00:00.000000+00	PATARINI
